eventNumber,expenseTypeLabel,amount
222,כשרות,200.0
222,פרחים,50.0
222,שוק,50.0
258,סופר,84.0
258,סרחיו,189.0
258,תפריטים,7.0
292,סופר,212.0
292,פרחים,30.0
292,תפריטים,7.0
303,כשרות,175.5
303,סופר,50.0
303,תפריטים,7.0
305,חירום,700.0
305,סופר,100.0
305,פרחים,35.0
305,קרח,480.0
305,שוק,100.0
312,השכרת כוסות,1400.0
312,פרחים,50.0
312,שוק,50.0
323,חניה,50.0
323,סופר,200.0
323,סרחיו,38.0
323,פרחים,30.0
323,תפריטים,7.0
328,סופר,92.0
328,שוק,70.0
328,תפריטים,7.0
329,סרחיו,100.0
337,סופר,61.0
337,פרחים,27.0
338,סופר,30.0
338,סופר,30.0
338,שבר,500.0
341,השכרת כוסות,1510.0
341,כשרות,150.0
341,פרחים,65.0
341,שוק,70.0
341,תפריטים,7.0
349,ארוחה,195.0
349,ברז בירה,1755.0
349,השכרת כוסות,1529.0
349,חניה,80.0
349,מקפיא,350.0
349,סופר,40.0
349,פרחים,27.0
350,סופר,112.0
354,סופר,38.0
354,פרחים,60.0
354,שוק,70.0
356,חניה,50.0
356,מיתוג,135.0
356,פרחים,60.0
358,סופר,116.0
358,קרח,300.0
358,שוק,100.0
358,תפריטים,7.0
359,פרחים,50.0
359,שוק,44.0
360,חניה,40.0
360,סופר,40.0
360,פרחים,27.0
363,סופר,100.0
363,שוק,100.0
365,סופר,70.0
365,שוק,50.0
365,תפריטים,7.0
370,דלק,300.0
370,דלק עובדים,200.0
370,מים וסודה,684.0
370,סופר,150.0
370,קרח,300.0
370,שוק,100.0
370,תפריטים,14.0
371,פרחים,60.0
371,שוק,50.0
378,סופר,50.0
378,פרחים,85.0
379,סופר,150.0
379,פרחים,65.0
379,שוק,50.0
387,סופר,12.0
387,פרחים,25.0
388,סופר,30.0
388,פרחים,25.0
394,סופר,45.0
394,פרחים,50.0
394,שוק,50.0
394,תפריטים,7.0
395,סופר,75.0
405,סופר,10.0
405,פרחים,35.0
405,שוק,50.0
405,תפריטים,7.0
406,סופר,50.0
411,סופר,63.0
413,סופר,80.0
413,פרחים,50.0
413,תפריטים,7.0
417,אלכסנדר,45.0
417,מונית,100.0
417,סופר,100.0
417,עמלה,1000.0
417,פרחים,40.0
417,קרח וקפה,1200.0
417,שוק,50.0
418,כשרות,175.0
418,מיתוג,135.0
418,סופר,60.0
418,סרחיו,278.0
423,שוק,100.0
423,תפריטים,7.0
425,סופר,20.0
425,פרחים,30.0
425,תפריטים,7.0
433,חניה,190.0
433,כשרות,175.0
433,סופר,150.0
433,סרחיו,400.0
433,פרחים,90.0
436,אלכסנדר,90.0
436,גלעד,3000.0
436,סופר,100.0
436,סופר חירום,100.0
436,עמדת  קפה,1600.0
436,עמלה,1750.0
436,פולי קפה,120.0
436,פרחים,40.0
436,שוק,50.0
437,חירום,80.0
437,סופר,80.0
437,תפריטים,7.0
439,כשרות,175.0
439,סופר,107.0
439,פרחים,50.0
441,השכרת כוסות,1874.0
441,מיתוג,180.0
441,סופר,60.0
441,פרחים,60.0
441,שוק,50.0
441,תפריטים,7.0
443,סופר,55.0
443,סרחיו,25.0
443,פרחים,60.0
443,תפריטים,7.0
444,סופר,50.0
444,פרחים,65.0
444,קוקוסים,308.0
444,תפריטים,7.0
445,פרחים,50.0
445,שוק,60.0
445,תפריטים,7.0
447,סופר,75.0
447,קרח,96.0
448,סופר,50.0
448,פרחים,55.0
448,תפריטים,7.0
449,סופר,50.0
449,פרחים,60.0
449,קצפת צמחית,70.0
449,שוק,65.0
457,השכרת כוסות,3404.5
457,חירום,52.0
457,מיתוג,225.0
457,סופר,60.0
457,פרחים,120.0
457,קוקוסים,625.0
457,קרח חירום,120.0
457,שוק,65.0
463,סופר,110.0
463,שוק,200.0
471,חניה,95.0
471,סופר,135.0
471,סרחיו,330.0
471,תפריטים,7.0
476,ארוחות,100.0
476,סופר,100.0
476,עמלה,700.0
476,פרחים,50.0
476,קפה,150.0
476,שוק,100.0
477,סופר,50.0
484,אלכסנדר,1130.0
484,ארוחות,120.0
484,סופר,150.0
484,פרחים,80.0
484,קרח,240.0
484,שוק,100.0
489,שוק,50.0
490,גרנישים,50.0
490,כשרות,175.0
490,סופר,85.0
490,סרחיו,25.0
490,עמלה,500.0
490,תפריטים,7.0
491,פרחים,75.0
493,השכרת עגלה,202.0
493,פרחים,50.0
493,שוק,50.0
494,השכרת עגלה,202.0
494,סופר,30.0
494,פרחים,50.0
494,שוק,50.0
496,השכרת כוסות,2755.0
496,סופר,50.0
496,פרחים,50.0
496,שוק,50.0
496,תפריטים,7.0
497,השכרת עגלה,202.0
497,שוק,50.0
498,סופר,100.0
498,קרח חירום,180.0
503,השכרת כוסות,1726.0
503,השכרת עגלה,351.0
503,סופר,50.0
503,פרחים,50.0
503,שוק,50.0
503,תפריטים,7.0
509,סופר,50.0
514,סופר,75.0
516,חניה,50.0
516,מיתוג,135.0
516,סופר,50.0
516,פרחים,60.0
517,ארוחות,200.0
517,גרנישים,12.0
517,כשרות,175.0
517,סופר,100.0
517,פרחים,75.0
517,תפריטים,101.0
519,סופר,60.0
519,פרחים,40.0
523,סופר,30.0
526,ארוחות,100.0
526,סופר,150.0
528,חניה,20.0
528,כשרות,175.5
528,סופר,130.0
532,סופר,50.0
537,סופר,50.0
537,פרחים,45.0
537,שוק,35.0
537,תפריטים,7.0
538,סופר,50.0
538,שוק,35.0
538,תפריטים,7.0
542,כשרות,175.0
542,סופר,75.0
546,סופר,70.0
548,סופר,180.0
548,פולי קפה,99.0
548,שוק,35.0
548,תפריטים,7.0
549,סופר,200.0
549,פולי קפה,163.8
549,קפה חיצוני,1500.0
549,תפריטים,7.0
553,ארוחות,100.0
553,השכרת כוסות,2800.0
553,שוק,120.0
553,תפריטים,7.0
554,השכרת עגלה,250.0
554,שוק,50.0
554,תפריטים,7.0
555,פרחים,40.0
555,שוק,50.0
555,תפריטים,7.0
559,שוק,50.0
559,תפריטים,7.0
561,סופר,50.0
562,כשרות,175.0
562,סופר,50.0
567,שוק,50.0
571,סופר,30.0
571,תפריטים,7.0
573,ארוחות,60.0
573,כשרות,175.0
573,סופר,50.0
573,תפריטים,7.0
576,ארוחות,263.0
576,סופר,50.0
578,שוק,75.0
578,תפריטים,7.0
579,דוח,250.0
579,סופר,110.0
582,כשרות,177.0
582,סופר,60.0
583,השכרת כוסות,2300.0
583,סופר,170.0
583,פרחים,50.0
583,קרח חירום,130.0
583,שוק,75.0
583,תפריטים,7.0
584,בננות,16.0
584,גרנישים,21.0
584,סופר,53.0
587,בננות,16.0
587,כשרות,175.0
587,סופר,53.0
587,סרחיו,25.0
587,צ'אי בדואי,29.0
590,השכרת כוסות,1594.0
590,מיתוג,135.0
590,סופר,80.0
590,פרחים,130.0
590,קרח חירום,120.0
590,תפריטים,7.0
592,גרנישים,60.0
592,סופר,17.0
592,פרחים,80.0
592,שוק,70.0
593,חלב השלמה,30.0
593,מוצרים מאלכסנדר,300.0
593,מכונת קפה,1000.0
593,סופר,70.0
593,שוק,50.0
600,סופר,50.0
601,השכרת ציוד,2200.0
601,סופר,100.0
603,השכרת ציוד,2843.0
603,יין,4241.0
603,סופר,220.0
603,פרחים,110.0
603,תפריטים,14.0
605,שוק,50.0
608,סופר,15.0
608,שוק,50.0
608,תפריטים,7.0
620,ארוחות,60.0
620,כשרות,175.0
620,תפריטים,7.0
622,מיתוג,95.0
622,סופר,10.0
622,תפריטים,7.0
623,גלעד,2700.0
623,השכרת עגלה,260.0
623,סופר,35.0
623,סופר חירום,700.0
623,פרחים,125.0
623,קוקוסים,1125.0
623,שוק,100.0
628,ארוחות,88.0
628,מיתוג,135.0
628,סופר,100.0
632,מיתוג,135.0
632,סופר,100.0
635,ארוחות,60.0
635,שוק,25.0
640,חניה,30.0
640,לימון משומר,56.0
640,סופר,110.0
640,קרח חירום,143.0
644,סופר,50.0
644,קרח חירום,200.0
646,שוק,25.0
646,תפריטים,7.0
647,חניה,95.0
647,מיתוג,135.0
647,סופר,100.0
648,ארוחות,25.0
650,מיתוג,90.0
650,סופר,85.0
651,סופר,50.0
654,דוח,100.0
654,חניה,35.0
654,סופר,24.0
657,דלק,75.0
657,סופר,30.0
660,סופר,50.0
661,סופר,250.0
661,פרחים,35.0
661,קרח חירום,196.0
662,השכרת כוסות,1575.0
662,השכרת עגלה,260.0
662,מיתוג,180.0
662,סופר,52.0
663,ארוחות,30.0
663,סופר,30.0
665,סופר,100.0
671,כשרות,175.0
671,סופר,100.0
677,כשרות,175.0
677,סופר,50.0
678,מיתוג,90.0
678,סופר,150.0
680,דלק,75.0
680,מיתוג,135.0
680,סופר,30.0
683,סופר,70.0
684,סופר,70.0
684,קרח חירום,130.0
685,סופר,70.0
687,נשנושים,100.0
687,סופר,55.0
694,סופר,50.0
696,שוק,50.0
697,ארוחות,50.0
697,סופר,60.0
698,סופר,100.0
699,השכרת כוסות,240.0
699,חלב,170.0
699,סופר,155.0
699,פרחים,108.0
699,קרח חירום,260.0
700,שוק,50.0
703,כשרות,175.0
703,סופר,70.0
706,כשרות,175.0
706,סופר,50.0
707,חלב,95.0
707,סופר,70.0
707,שוק,50.0
708,ארוחות,130.0
708,חניה,100.0
708,מים,22.0
708,סופר,55.0
711,סופר,50.0
712,סופר,20.0
713,דלק,150.0
713,מוניות,100.0
713,סופר,50.0
714,מיתוג,135.0
714,שוק,50.0
715,סופר,80.0
715,קרח חירום,50.0
716,השכרת כוסות,2231.0
716,סופר,70.0
716,שוק,50.0
723,משקאות לאירוע,630.0
723,סופר,70.0
723,שוק,50.0
724,שוק,50.0
725,ארוחות,60.0
725,כשרות,175.0
725,קרח חירום,50.0
727,שןק,50.0
728,שוק,50.0
729,סופר,100.0
730,סופר,70.0
730,שוק,50.0
731,ארוחות,40.0
731,סופר,70.0
731,קרח חירום,231.0
732,מיתוג,155.0
732,מלאי חירום,90.0
732,סופר,75.0
734,סופר,120.0
736,כשרות,175.0
736,סופר,100.0
737,סופר,75.0
738,ארוחות,100.0
738,סופר,120.0
738,שוק,100.0
740,כשרות,175.0
740,סופר,50.0
743,השכרת כוסות,1733.0
743,וויסקי לאירוע,1500.0
743,סופר,200.0
744,מלאי חירום,370.0
744,משקאות לאירוע,490.0
744,סופר,80.0
746,ארוחות,50.0
746,סופר,50.0
746,קרח חירום,150.0
753,משקאות לאירוע,235.0
753,סופר,100.0
754,סופר,60.0
757,סופר,80.0
